********
********
****O***
***OO***
***XO***
********
********
********
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e3,1,Infinity,-Infinity,Infinity
d3,2,-Infinity,-Infinity,Infinity
c2,3,Infinity,-Infinity,Infinity
d2,4,-1,-Infinity,Infinity
c2,3,-1,-Infinity,-1
f2,4,0,-Infinity,-1
c2,3,-1,-Infinity,-1
f3,4,-3,-Infinity,-1
c2,3,-3,-Infinity,-3
f4,4,0,-Infinity,-3
c2,3,-3,-Infinity,-3
f5,4,0,-Infinity,-3
c2,3,-3,-Infinity,-3
f6,4,-3,-Infinity,-3
c2,3,-3,-Infinity,-3
d3,2,-3,-3,Infinity
c3,3,Infinity,-3,Infinity
d2,4,10,-3,Infinity
c3,3,10,-3,10
f3,4,8,-3,10
c3,3,8,-3,8
f5,4,11,-3,8
c3,3,8,-3,8
d3,2,8,8,Infinity
c4,3,Infinity,8,Infinity
b3,4,0,8,Infinity
c4,3,0,8,Infinity
d3,2,8,8,Infinity
c5,3,Infinity,8,Infinity
f3,4,-11,8,Infinity
c5,3,-11,8,Infinity
d3,2,8,8,Infinity
c6,3,Infinity,8,Infinity
f2,4,3,8,Infinity
c6,3,3,8,Infinity
d3,2,8,8,Infinity
e3,1,8,-Infinity,8
f3,2,-Infinity,-Infinity,8
g3,3,Infinity,-Infinity,8
e2,4,2,-Infinity,8
g3,3,2,-Infinity,2
g2,4,17,-Infinity,2
g3,3,2,-Infinity,2
d3,4,3,-Infinity,2
g3,3,2,-Infinity,2
c4,4,3,-Infinity,2
g3,3,2,-Infinity,2
f5,4,3,-Infinity,2
g3,3,2,-Infinity,2
e6,4,3,-Infinity,2
g3,3,2,-Infinity,2
f3,2,2,2,8
f4,3,Infinity,2,8
d3,4,-11,2,8
f4,3,-11,2,8
f3,2,2,2,8
c5,3,Infinity,2,8
e2,4,-4,2,8
c5,3,-4,2,8
f3,2,2,2,8
d6,3,Infinity,2,8
e2,4,-4,2,8
d6,3,-4,2,8
f3,2,2,2,8
e3,1,2,-Infinity,2
f5,2,-Infinity,-Infinity,2
c6,3,Infinity,-Infinity,2
e2,4,2,-Infinity,2
c6,3,2,-Infinity,2
c3,4,0,-Infinity,2
c6,3,0,-Infinity,0
d3,4,3,-Infinity,0
c6,3,0,-Infinity,0
c5,4,3,-Infinity,0
c6,3,0,-Infinity,0
f5,2,0,0,2
d6,3,Infinity,0,2
e2,4,-1,0,2
d6,3,-1,0,2
f5,2,0,0,2
e6,3,Infinity,0,2
d3,4,0,0,2
e6,3,0,0,2
f5,2,0,0,2
f6,3,Infinity,0,2
d3,4,3,0,2
f6,3,3,0,2
f3,4,0,0,2
f6,3,0,0,2
f5,2,0,0,2
g6,3,Infinity,0,2
e2,4,-1,0,2
g6,3,-1,0,2
f5,2,0,0,2
e3,1,0,-Infinity,0
root,0,0,0,Infinity
f4,1,Infinity,0,Infinity
d3,2,-Infinity,0,Infinity
c2,3,Infinity,0,Infinity
d2,4,-1,0,Infinity
c2,3,-1,0,Infinity
d3,2,-1,0,Infinity
c3,3,Infinity,0,Infinity
b3,4,-3,0,Infinity
c3,3,-3,0,Infinity
d3,2,-1,0,Infinity
c4,3,Infinity,0,Infinity
b3,4,0,0,Infinity
c4,3,0,0,Infinity
d3,2,0,0,Infinity
c5,3,Infinity,0,Infinity
g4,4,-1,0,Infinity
c5,3,-1,0,Infinity
d3,2,0,0,Infinity
c6,3,Infinity,0,Infinity
g4,4,2,0,Infinity
c6,3,2,0,2
f5,4,3,0,2
c6,3,2,0,2
d6,4,3,0,2
c6,3,2,0,2
f6,4,0,0,2
c6,3,0,0,2
d3,2,0,0,Infinity
f4,1,0,0,Infinity
root,0,0,0,Infinity
c5,1,Infinity,0,Infinity
c4,2,-Infinity,0,Infinity
b3,3,Infinity,0,Infinity
b4,4,-1,0,Infinity
b3,3,-1,0,Infinity
c4,2,-1,0,Infinity
c3,3,Infinity,0,Infinity
b4,4,10,0,Infinity
c3,3,10,0,10
c6,4,8,0,10
c3,3,8,0,8
e6,4,11,0,8
c3,3,8,0,8
c4,2,8,8,Infinity
d3,3,Infinity,8,Infinity
c2,4,0,8,Infinity
d3,3,0,8,Infinity
c4,2,8,8,Infinity
e3,3,Infinity,8,Infinity
f4,4,0,8,Infinity
e3,3,0,8,Infinity
c4,2,8,8,Infinity
f3,3,Infinity,8,Infinity
f4,4,3,8,Infinity
f3,3,3,8,Infinity
c4,2,8,8,Infinity
c5,1,8,0,8
c6,2,-Infinity,0,8
e3,3,Infinity,0,8
d3,4,-3,0,8
e3,3,-3,0,8
c6,2,-3,0,8
f4,3,Infinity,0,8
d3,4,-3,0,8
f4,3,-3,0,8
c6,2,-3,0,8
d6,3,Infinity,0,8
c4,4,-11,0,8
d6,3,-11,0,8
c6,2,-3,0,8
c7,3,Infinity,0,8
d3,4,3,0,8
c7,3,3,0,3
c4,4,3,0,3
c7,3,3,0,3
b5,4,2,0,3
c7,3,2,0,2
f5,4,3,0,2
c7,3,2,0,2
e6,4,3,0,2
c7,3,2,0,2
b7,4,17,0,2
c7,3,2,0,2
c6,2,2,2,8
c5,1,2,0,2
e6,2,-Infinity,0,2
f3,3,Infinity,0,2
c3,4,0,0,2
f3,3,0,0,2
e6,2,0,0,2
f4,3,Infinity,0,2
c3,4,-3,0,2
f4,3,-3,0,2
e6,2,0,0,2
f5,3,Infinity,0,2
c4,4,0,0,2
f5,3,0,0,2
e6,2,0,0,2
f6,3,Infinity,0,2
c4,4,3,0,2
f6,3,3,0,2
c6,4,0,0,2
f6,3,0,0,2
e6,2,0,0,2
f7,3,Infinity,0,2
c3,4,-3,0,2
f7,3,-3,0,2
e6,2,0,0,2
c5,1,0,0,2
root,0,0,0,Infinity
d6,1,Infinity,0,Infinity
c4,2,-Infinity,0,Infinity
b3,3,Infinity,0,Infinity
b4,4,-1,0,Infinity
b3,3,-1,0,Infinity
c4,2,-1,0,Infinity
c3,3,Infinity,0,Infinity
c2,4,-3,0,Infinity
c3,3,-3,0,Infinity
c4,2,-1,0,Infinity
d3,3,Infinity,0,Infinity
c2,4,0,0,Infinity
d3,3,0,0,Infinity
c4,2,0,0,Infinity
e3,3,Infinity,0,Infinity
f2,4,0,0,Infinity
e3,3,0,0,Infinity
c4,2,0,0,Infinity
f3,3,Infinity,0,Infinity
f4,4,3,0,Infinity
f3,3,3,0,3
e6,4,3,0,3
f3,3,3,0,3
f6,4,0,0,3
f3,3,0,0,3
c4,2,0,0,Infinity
d6,1,0,0,Infinity
root,0,0,0,Infinity
