********
********
****O***
***OO***
***XO***
********
********
********
Node,Depth,Value
root,0,-Infinity
e3,1,Infinity
d3,2,-Infinity
c2,3,Infinity
d2,4,-1
c2,3,-1
f2,4,0
c2,3,-1
f3,4,-3
c2,3,-3
f4,4,0
c2,3,-3
f5,4,0
c2,3,-3
f6,4,-3
c2,3,-3
d3,2,-3
c3,3,Infinity
d2,4,10
c3,3,10
f3,4,8
c3,3,8
f5,4,11
c3,3,8
d3,2,8
c4,3,Infinity
b3,4,0
c4,3,0
f3,4,-11
c4,3,-11
b5,4,-1
c4,3,-11
f5,4,0
c4,3,-11
d3,2,8
c5,3,Infinity
f3,4,-11
c5,3,-11
f5,4,0
c5,3,-11
d6,4,0
c5,3,-11
d3,2,8
c6,3,Infinity
f2,4,3
c6,3,3
f3,4,-8
c6,3,-8
f4,4,3
c6,3,-8
f5,4,3
c6,3,-8
d6,4,3
c6,3,-8
f6,4,0
c6,3,-8
d3,2,8
e3,1,8
f3,2,-Infinity
g3,3,Infinity
e2,4,2
g3,3,2
g2,4,17
g3,3,2
d3,4,3
g3,3,2
c4,4,3
g3,3,2
f5,4,3
g3,3,2
e6,4,3
g3,3,2
f3,2,2
f4,3,Infinity
d3,4,-11
f4,3,-11
f5,4,-11
f4,3,-11
f3,2,2
c5,3,Infinity
e2,4,-4
c5,3,-4
d3,4,-11
c5,3,-11
c4,4,-3
c5,3,-11
c6,4,-6
c5,3,-11
e6,4,-3
c5,3,-11
f3,2,2
d6,3,Infinity
e2,4,-4
d6,3,-4
d3,4,-11
d6,3,-11
c4,4,-3
d6,3,-11
c6,4,-6
d6,3,-11
e6,4,-3
d6,3,-11
f3,2,2
e3,1,2
f5,2,-Infinity
c6,3,Infinity
e2,4,2
c6,3,2
c3,4,0
c6,3,0
d3,4,3
c6,3,0
c5,4,3
c6,3,0
f5,2,0
d6,3,Infinity
e2,4,-1
d6,3,-1
c3,4,-3
d6,3,-3
d3,4,0
d6,3,-3
c5,4,0
d6,3,-3
c7,4,0
d6,3,-3
f5,2,0
e6,3,Infinity
d3,4,0
e6,3,0
f3,4,-3
e6,3,-3
d7,4,-1
e6,3,-3
f7,4,0
e6,3,-3
f5,2,0
f6,3,Infinity
d3,4,3
f6,3,3
f3,4,0
f6,3,0
f7,4,-3
f6,3,-3
f5,2,0
g6,3,Infinity
e2,4,-1
g6,3,-1
c3,4,-3
g6,3,-3
d3,4,0
g6,3,-3
f3,4,-3
g6,3,-3
g5,4,-1
g6,3,-3
f5,2,0
e3,1,0
root,0,0
f4,1,Infinity
d3,2,-Infinity
c2,3,Infinity
d2,4,-1
c2,3,-1
f3,4,-3
c2,3,-3
g4,4,-1
c2,3,-3
f5,4,0
c2,3,-3
f6,4,-3
c2,3,-3
d3,2,-3
c3,3,Infinity
b3,4,-3
c3,3,-3
f3,4,0
c3,3,-3
f5,4,3
c3,3,-3
d3,2,-3
c4,3,Infinity
b3,4,0
c4,3,0
f3,4,-3
c4,3,-3
b5,4,-1
c4,3,-3
f5,4,0
c4,3,-3
d3,2,-3
c5,3,Infinity
g4,4,-1
c5,3,-1
f5,4,0
c5,3,-1
b6,4,0
c5,3,-1
d6,4,0
c5,3,-1
f6,4,-3
c5,3,-3
d3,2,-3
c6,3,Infinity
g4,4,2
c6,3,2
f5,4,3
c6,3,2
d6,4,3
c6,3,2
f6,4,0
c6,3,0
d3,2,0
f4,1,0
f3,2,-Infinity
f2,3,Infinity
g2,4,17
f2,3,17
d3,4,3
f2,3,3
c4,4,3
f2,3,3
g4,4,2
f2,3,2
f5,4,3
f2,3,2
e6,4,3
f2,3,2
f3,2,2
e3,3,Infinity
d3,4,-11
e3,3,-11
f5,4,-11
e3,3,-11
f3,2,2
c5,3,Infinity
c4,4,-3
c5,3,-3
g4,4,-4
c5,3,-4
f5,4,-11
c5,3,-11
c6,4,-6
c5,3,-11
e6,4,-3
c5,3,-11
f3,2,2
d6,3,Infinity
c4,4,-3
d6,3,-3
g4,4,-4
d6,3,-4
f5,4,-11
d6,3,-11
c6,4,-6
d6,3,-11
e6,4,-3
d6,3,-11
f3,2,2
f4,1,0
f5,2,-Infinity
c6,3,Infinity
c3,4,0
c6,3,0
d3,4,3
c6,3,0
e3,4,3
c6,3,0
f3,4,-8
c6,3,-8
g3,4,3
c6,3,-8
c5,4,3
c6,3,-8
f5,2,-8
d6,3,Infinity
d3,4,0
d6,3,0
f3,4,-11
d6,3,-11
c5,4,0
d6,3,-11
f5,2,-8
e6,3,Infinity
d3,4,0
e6,3,0
f3,4,-11
e6,3,-11
d7,4,-1
e6,3,-11
f7,4,0
e6,3,-11
f5,2,-8
f6,3,Infinity
d3,4,11
f6,3,11
f3,4,8
f6,3,8
g5,4,10
f6,3,8
f5,2,8
g6,3,Infinity
c3,4,-3
g6,3,-3
d3,4,0
g6,3,-3
e3,4,0
g6,3,-3
f3,4,-3
g6,3,-3
g3,4,0
g6,3,-3
g5,4,-1
g6,3,-3
f5,2,8
f4,1,0
root,0,0
c5,1,Infinity
c4,2,-Infinity
b3,3,Infinity
b4,4,-1
b3,3,-1
b6,4,0
b3,3,-1
c6,4,-3
b3,3,-3
d6,4,0
b3,3,-3
e6,4,0
b3,3,-3
f6,4,-3
b3,3,-3
c4,2,-3
c3,3,Infinity
b4,4,10
c3,3,10
c6,4,8
c3,3,8
e6,4,11
c3,3,8
c4,2,8
d3,3,Infinity
c2,4,0
d3,3,0
e2,4,-1
d3,3,-1
c6,4,-11
d3,3,-11
e6,4,0
d3,3,-11
c4,2,8
e3,3,Infinity
f4,4,0
e3,3,0
c6,4,-11
e3,3,-11
e6,4,0
e3,3,-11
c4,2,8
f3,3,Infinity
f4,4,3
f3,3,3
b6,4,3
f3,3,3
c6,4,-8
f3,3,-8
d6,4,3
f3,3,-8
e6,4,3
f3,3,-8
f6,4,0
f3,3,-8
c4,2,8
c5,1,8
c6,2,-Infinity
e3,3,Infinity
d3,4,-3
e3,3,-3
f3,4,-6
e3,3,-6
c4,4,-11
e3,3,-11
b5,4,-4
e3,3,-11
f5,4,-3
e3,3,-11
c6,2,-11
f4,3,Infinity
d3,4,-3
f4,3,-3
f3,4,-6
f4,3,-6
c4,4,-11
f4,3,-11
b5,4,-4
f4,3,-11
f5,4,-3
f4,3,-11
c6,2,-11
d6,3,Infinity
c4,4,-11
d6,3,-11
e6,4,-11
d6,3,-11
c6,2,-11
c7,3,Infinity
d3,4,3
c7,3,3
c4,4,3
c7,3,3
b5,4,2
c7,3,2
f5,4,3
c7,3,2
e6,4,3
c7,3,2
b7,4,17
c7,3,2
c6,2,2
c5,1,2
e6,2,-Infinity
f3,3,Infinity
c3,4,0
f3,3,0
e3,4,3
f3,3,0
c4,4,3
f3,3,0
b5,4,2
f3,3,0
e6,2,0
f4,3,Infinity
c3,4,-3
f4,3,-3
e3,4,0
f4,3,-3
g3,4,0
f4,3,-3
c4,4,0
f4,3,-3
b5,4,-1
f4,3,-3
e6,2,0
f5,3,Infinity
c4,4,0
f5,3,0
g4,4,-1
f5,3,-1
c6,4,-3
f5,3,-3
g6,4,0
f5,3,-3
e6,2,0
f6,3,Infinity
c4,4,3
f6,3,3
c6,4,0
f6,3,0
g6,4,-3
f6,3,-3
e6,2,0
f7,3,Infinity
c3,4,-3
f7,3,-3
c4,4,0
f7,3,-3
b5,4,-1
f7,3,-3
c6,4,-3
f7,3,-3
e7,4,-1
f7,3,-3
e6,2,0
c5,1,0
root,0,0
d6,1,Infinity
c4,2,-Infinity
b3,3,Infinity
b4,4,-1
b3,3,-1
c6,4,-3
b3,3,-3
e6,4,0
b3,3,-3
f6,4,-3
b3,3,-3
d7,4,-1
b3,3,-3
c4,2,-3
c3,3,Infinity
c2,4,-3
c3,3,-3
c6,4,0
c3,3,-3
e6,4,3
c3,3,-3
c4,2,-3
d3,3,Infinity
c2,4,0
d3,3,0
e2,4,-1
d3,3,-1
c6,4,-3
d3,3,-3
e6,4,0
d3,3,-3
c4,2,-3
e3,3,Infinity
f2,4,0
e3,3,0
f4,4,0
e3,3,0
e6,4,0
e3,3,0
f6,4,-3
e3,3,-3
d7,4,-1
e3,3,-3
c4,2,-3
f3,3,Infinity
f4,4,3
f3,3,3
e6,4,3
f3,3,3
f6,4,0
f3,3,0
d7,4,2
f3,3,0
c4,2,0
d6,1,0
c6,2,-Infinity
e3,3,Infinity
d3,4,-3
e3,3,-3
f3,4,-6
e3,3,-6
f5,4,-3
e3,3,-6
e6,4,-11
